Geography,concat_no_state
Alabama,Age - 18 – 49
Alabama,Age - 50 – 64
Alabama,Age - 65+
Alabama,"Age.Race - 18 – 49, Black"
Alabama,"Age.Race - 18 – 49, Hispanic"
Alabama,"Age.Race - 18 – 49, Other"
Alabama,"Age.Race - 18 – 49, White"
Alabama,"Age.Race - 50 – 64, Black"
Alabama,"Age.Race - 50 – 64, Other"
Alabama,"Age.Race - 50 – 64, White"
Alabama,"Age.Race - 65+, Black"
Alabama,"Age.Race - 65+, White"
Alabama,18+ Adults - 18+ Adults
Alabama,US.Born - US Born
Alabama,US.Born - Not US Born
Alabama,Fr.Fam.Vaccd - Many
Alabama,Fr.Fam.Vaccd - No_some
Alabama,Vacc.Info.Seek - Often.Sometimes
Alabama,Vacc.Info.Seek - Rarely.Never
Alabama,Covid.Concern - A little_not
Alabama,Covid.Concern - Very_Moderately
Alabama,Vaccine.Confiden - Not at all_Somewhat
Alabama,Vaccine.Confiden - Very
Alabama,Vaccine.Imprtnt - A little_not at all
Alabama,Vaccine.Imprtnt - Somewhat_very
Alabama,Disability - No
Alabama,Disability - Yes
Alabama,Ess.Wrkr.grp - Ess.Healthcare
Alabama,Ess.Wrkr.grp - Ess.Other
Alabama,Ess.Wrkr.grp - Frontline.Other
Alabama,Ess.Wrkr.grp - Not.Ess.Wrkr
Alabama,Ess.Wrkr.grp - School.Childcare
Alabama,Past.Covid - No
Alabama,Past.Covid - Yes
Alabama,G.Identity - Cisgender
Alabama,G.Identity - Dont know
Alabama,G.Identity - TG/Non bin
Alabama,Prim.Care.Providr.Status - No
Alabama,Prim.Care.Providr.Status - Yes
Alabama,Comorbidity - No
Alabama,Comorbidity - Yes
Alabama,Dr.Recommend.Boostr - No
Alabama,Dr.Recommend.Vacc - No
Alabama,Dr.Recommend.Vacc - Yes
Alabama,Insurance - Insured
Alabama,Insurance - Not insured
Alabama,Language - English
Alabama,Mask.Use - Always.Often
Alabama,Mask.Use - Occasional.Never
Alabama,Mental.Health - Excellent.Good
Alabama,Mental.Health - Fair.Poor
Alabama,Rural.Urban - Rural
Alabama,Rural.Urban - Suburban
Alabama,Rural.Urban - Urban
Alabama,Political - Democrat
Alabama,Political - None
Alabama,Political - Unknown
Alabama,Political - Republican
Alabama,Pov.Status - <$75k
Alabama,Pov.Status - >=$75k
Alabama,Pov.Status - Below poverty
Alabama,Pov.Status - Unknown
Alabama,Pregnancy - Not pregnant
Alabama,Race.4lvl - Black
Alabama,Race.4lvl - Hispanic
Alabama,Race.4lvl - Other
Alabama,Race.4lvl - White
Alabama,Flu.Vacc - No
Alabama,Flu.Vacc - Yes
Alabama,Past.Vaccin - No
Alabama,Past.Vaccin - Yes
Alabama,Racial.Equity - Better
Alabama,Racial.Equity - Dont know
Alabama,Racial.Equity - Equal
Alabama,Racial.Equity - Worse
Alabama,Sex - Female
Alabama,Sex - Male
Alabama,S.Orientation - Dont know
Alabama,S.Orientation - LGB
Alabama,S.Orientation - Hetero
Alabama,SVI - High
Alabama,SVI - Low
Alabama,SVI - Moderate
Alabama,SVI - Unknown
Alabama,Non.Englsh.Language - No
Alabama,Non.Englsh.Language - Yes
Alabama,Work.School - No
Alabama,Work.School - Unemployed
Alabama,Work.School - Yes
Alaska,Age - 18 – 49
Alaska,Age - 50 – 64
Alaska,Age - 65+
Alaska,"Age.Race - 18 – 49, Hispanic"
Alaska,"Age.Race - 18 – 49, Other"
Alaska,"Age.Race - 18 – 49, White"
Alaska,"Age.Race - 50 – 64, Other"
Alaska,"Age.Race - 50 – 64, White"
Alaska,"Age.Race - 65+, Other"
Alaska,"Age.Race - 65+, White"
Alaska,18+ Adults - 18+ Adults
Alaska,US.Born - US Born
Alaska,US.Born - Not US Born
Alaska,Fr.Fam.Vaccd - Many
Alaska,Fr.Fam.Vaccd - No_some
Alaska,Vacc.Info.Seek - Often.Sometimes
Alaska,Vacc.Info.Seek - Rarely.Never
Alaska,Covid.Concern - A little_not
Alaska,Covid.Concern - Very_Moderately
Alaska,Vaccine.Confiden - Not at all_Somewhat
Alaska,Vaccine.Confiden - Very
Alaska,Vaccine.Imprtnt - A little_not at all
Alaska,Vaccine.Imprtnt - Somewhat_very
Alaska,Disability - No
Alaska,Disability - Yes
Alaska,Ess.Wrkr.grp - Ess.Healthcare
Alaska,Ess.Wrkr.grp - Ess.Other
Alaska,Ess.Wrkr.grp - Frontline.Other
Alaska,Ess.Wrkr.grp - Not.Ess.Wrkr
Alaska,Ess.Wrkr.grp - School.Childcare
Alaska,Past.Covid - No
Alaska,Past.Covid - Yes
Alaska,G.Identity - Cisgender
Alaska,G.Identity - Dont know
Alaska,G.Identity - TG/Non bin
Alaska,Prim.Care.Providr.Status - No
Alaska,Prim.Care.Providr.Status - Yes
Alaska,Comorbidity - No
Alaska,Comorbidity - Yes
Alaska,Dr.Recommend.Boostr - No
Alaska,Dr.Recommend.Vacc - No
Alaska,Dr.Recommend.Vacc - Yes
Alaska,Insurance - Insured
Alaska,Insurance - Not insured
Alaska,Language - English
Alaska,Mask.Use - Always.Often
Alaska,Mask.Use - Occasional.Never
Alaska,Mental.Health - Excellent.Good
Alaska,Mental.Health - Fair.Poor
Alaska,Rural.Urban - Rural
Alaska,Rural.Urban - Suburban
Alaska,Rural.Urban - Urban
Alaska,Political - Democrat
Alaska,Political - None
Alaska,Political - Unknown
Alaska,Political - Republican
Alaska,Pov.Status - <$75k
Alaska,Pov.Status - >=$75k
Alaska,Pov.Status - Below poverty
Alaska,Pov.Status - Unknown
Alaska,Pregnancy - Not pregnant
Alaska,Race.4lvl - Black
Alaska,Race.4lvl - Hispanic
Alaska,Race.4lvl - Other
Alaska,Race.4lvl - White
Alaska,Flu.Vacc - No
Alaska,Flu.Vacc - Yes
Alaska,Past.Vaccin - No
Alaska,Past.Vaccin - Yes
Alaska,Racial.Equity - Better
Alaska,Racial.Equity - Dont know
Alaska,Racial.Equity - Equal
Alaska,Racial.Equity - Worse
Alaska,Sex - Female
Alaska,Sex - Male
Alaska,S.Orientation - Dont know
Alaska,S.Orientation - LGB
Alaska,S.Orientation - Hetero
Alaska,SVI - High
Alaska,SVI - Low
Alaska,SVI - Moderate
Alaska,SVI - Unknown
Alaska,Non.Englsh.Language - No
Alaska,Non.Englsh.Language - Yes
Alaska,Work.School - No
Alaska,Work.School - Unemployed
Alaska,Work.School - Yes
